Treatment;Genera;Bark;Grape;Leaf;Soil
Natural Conventional;Rathayibacter;8;0;0;0
Natural Conventional;Rossellomorea ;2;0;0;0
Natural Conventional;Staphylococcus;3;0;1;2
Natural Conventional;Streptococcus;2;0;0;0
Natural Conventional;Streptomyces;2;0;0;5
Natural Conventional;Terribacillus ;2;0;0;2
Natural Conventional;Pantoea;0;1;0;0
Natural Conventional;Bacillus;0;1;12;7
Natural Conventional;Brevibacterium;0;0;1;0
Natural Conventional;Paenibacillus;0;0;1;0
Natural Conventional;Stenotrophomonas;0;0;3;0
Natural Conventional;Agromyces;0;0;0;1
Natural Conventional;Arthrobacter;0;0;0;5
Natural Conventional;Domibacillus;0;0;0;1
Natural Conventional;Metabacillus;0;0;0;3
Natural Conventional;Paenibacillus;0;0;0;2
Natural Conventional;Pseudarthrobacter;0;0;0;1
Natural Conventional;Pseudomonas;0;0;0;2
Natural Conventional;Sinorhizobium;0;0;0;1
Natural Organic;Aeromonas;0;0;1;0
Natural Organic;Bacillus;0;1;6;1
Natural Organic;Mesobacillus;0;0;1;0
Natural Organic;Micrococcus;0;0;1;2
Natural Organic;Moraxella;0;0;1;0
Natural Organic;Peribacillus;1;0;0;6
Natural Organic;Pseudomonas;0;0;1;0
Natural Organic;Staphylococcus;0;2;0;0
Natural Organic;Stenotrophomonas;1;0;0;5
Natural Organic;Arthrobacter;0;0;0;2
Natural Organic;Domibacillus;0;0;0;1
Natural Organic;Massilia;0;0;0;1
Natural Organic;Metabacillus;0;0;0;4
Natural Organic;Niallia;0;0;0;2
Natural Organic;Paenarthrobacter;0;0;0;1
Natural Organic;Paenibacillus;0;0;0;3
Natural Organic;Pantoea;0;0;0;1
Natural Organic;Rhodococcus;0;0;0;1
Natural Organic;Sinorhizobium;0;0;0;1
Natural Organic;Streptomyces;0;0;0;21
Commercial Wild;Agrobacterium;0;0;0;1
Commercial Wild;Agromyces;0;0;0;1
Commercial Wild;Alkalicoccobacillus;0;0;0;2
Commercial Wild;Arthrobacter;0;0;0;1
Commercial Wild;Bacillus;5;13;6;1
Commercial Wild;Curtobacterium;12;6;1;0
Commercial Wild;Cytobacillus;1;0;1;0
Commercial Wild;Frigoribacterium;1;0;4;0
Commercial Wild;Isoptericola;0;0;0;1
Commercial Wild;Lysinibacillus;2;0;0;2
Commercial Wild;Mesobacillus;0;0;0;1
Commercial Wild;Microbacterium;0;0;0;2
Commercial Wild;Microterricola;0;0;0;1
Commercial Wild;Paenibacillus;0;0;0;1
Commercial Wild;Pantoea;12;0;2;0
Commercial Wild;Peribacillus;0;0;0;4
Commercial Wild;Priestia;0;0;1;1
Commercial Wild;Promicromonospora;0;0;9;1
Commercial Wild;Pseudomonas;5;0;0;2
Commercial Wild;Psychrobacillus;0;0;0;2
Commercial Wild;Rhizobium;0;0;1;2
Commercial Wild;Rhodococcus;0;0;0;4
Commercial Wild;Rossellomorea;0;0;1;0
Commercial Wild;Sphingobacterium;0;0;0;1
Commercial Wild;Staphylococcus;0;0;1;0
Commercial Wild;Stenotrophomonas;3;0;7;1
Commercial Wild;Tsukamurella;0;0;1;0
Commercial Wild;Labedella;1;0;0;0
Commercial Wild;Paenarthrobacter;1;0;0;0
Commercial Wild;Sphingomonas;1;0;0;0
Commercial Wild;Micrococcus;0;2;0;0
Commercial Wild;Terribacillus;0;4;0;0
Natural Wild;Isoptericola;0;0;0;1
Natural Wild;Metabacillus;0;0;0;1
Natural Wild;Methylobacterium;0;0;0;1
Natural Wild;Microbacterium;0;0;0;3
Natural Wild;Peribacillus;0;0;0;2
Natural Wild;Promicromonospora;0;0;0;1
Natural Wild;Streptomyces;0;0;0;1
Natural Wild;Pseudomonas;1;0;1;0
Natural Wild;Stenotrophomonas;2;0;2;0
Natural Wild;Curtobacterium;1;9;0;0
Natural Wild;Erwinia;3;0;0;0
Natural Wild;Lysinibacillus;1;0;0;0
Natural Wild;Pantoea;1;0;0;0
Natural Wild;Bacillus;0;16;0;0
